X,Y,OBJECTID,KC_Fac_FID,KCParkFID,SiteName,SiteType,Owner,OwnerType,Manager,ManageType,Maintd_By,MaintType,Label_Type
-122.494891017374,47.3335423129665,1,7257,2210101,Neill Point Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.493808199465,47.3360429587951,2,7257,2210101,Neill Point Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.519619056841,47.4055892338563,3,2464,2221101,Lisabeula Park,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,0
-122.520225999266,47.4060024796448,4,2464,2221101,Lisabeula Park,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1
-122.481044233938,47.4111011612302,5,2463,2221201,Paradise Ridge Park,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,0
-122.484006264945,47.410113192364,6,2463,2221201,Paradise Ridge Park,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1
-122.496198815298,47.3936566256561,7,8121,2221301,Old Mill Trail,Other Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.496660347395,47.3909143887236,8,8225,2221302,Fisher Creek Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.506105905093,47.3900160952634,9,4893,2221401,Christiansen Pond Natural Area,Other Site,Other Private,Private,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.491506978245,47.3684242540076,10,2462,2222501,Inspiration Point,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1
-122.49055511594,47.3655897529635,11,7258,2222502,Inspiration Point Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.489250575169,47.3664309276397,12,7258,2222502,Inspiration Point Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.4905734635,47.3608086287278,13,8144,2222503,Lost Lake Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.490614866693,47.36029306462,14,8144,2222503,Lost Lake Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.500401047406,47.3756767332203,15,8168,2222504,Frog Holler Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.497128276293,47.3724199796821,16,8168,2222504,Frog Holler Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.507380348946,47.3773648313575,17,8168,2222504,Frog Holler Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2
-122.526406017124,47.3467533740115,18,2461,2223401,Spring Beach,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,0
-122.524090673529,47.348028037417,19,2461,2223401,Spring Beach,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1
-122.523630366412,47.3581527177098,20,7811,2223501,Camp Sealth Creek Natural Area,Other Site,Other Private,Private,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.522978282839,47.3611513326097,21,7811,2223501,Camp Sealth Creek Natural Area,Other Site,Other Private,Private,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.526254265487,47.3512804935648,22,8152,2223502,Spring Beach Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.523886046095,47.3516935460701,23,8152,2223502,Spring Beach Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.490801168017,47.3581961492842,24,2460,2223601,Lost Lake,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1
-122.492171250581,47.3456376796628,25,8068,2223602,Forest Glen Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.492163787782,47.3461882642324,26,8068,2223602,Forest Glen Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.502131153495,47.4479588122559,27,2459,2232501,Agren Park,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,0
-122.500968371414,47.449419574691,28,2459,2232501,Agren Park,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1
-122.49454680338,47.4363727274793,29,5299,2233602,Island Center Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.484524655555,47.4345981956481,30,5299,2233602,Island Center Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.468421390652,47.4419144312033,31,5299,2233602,Island Center Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2
-122.366321068276,47.3328358223535,32,2458,3210101,Poverty Bay Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,0
-122.367986417174,47.3334842017926,33,2458,3210101,Poverty Bay Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.454259737133,47.3452991166669,34,5102,3210501,Piner Point Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.455876775484,47.3440592682267,35,5102,3210501,Piner Point Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.464588882852,47.3448655143118,36,7307,3210601,Northilla Beach Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.462193460894,47.3436514973869,37,7307,3210601,Northilla Beach Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.403214839578,47.3135493503885,38,2457,3211001,Dash Point State Park,Park Site,Washington State Parks,State,Washington State Parks,State,Washington State Parks,State,0
-122.40920327321,47.3197845651356,39,2457,3211001,Dash Point State Park,Park Site,Washington State Parks,State,Washington State Parks,State,Washington State Parks,State,1
-122.39666215905,47.3210375849035,40,2456,3211101,Palisades Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,0
-122.397020165343,47.3218755464709,41,2456,3211101,Palisades Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.386486607604,47.3245483711311,42,2444,3211102,Dumas Bay Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,0
-122.384438581502,47.3259465972586,43,2444,3211102,Dumas Bay Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.357312965623,47.3272120259612,44,2454,3211201,Adelaide Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.356341871637,47.322131426779,45,2465,3211202,Lakota Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,0
-122.35792907785,47.3201613767299,46,2465,3211202,Lakota Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.375350867278,47.3284632564305,47,7280,3211203,Dumas Bay Centre,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.373082783159,47.3068747467475,48,2452,3211301,Olympic View Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,0
-122.373938981978,47.3014179437283,49,2452,3211301,Olympic View Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.402186957525,47.311327946736,50,2451,3211501,Dash Point Highlands Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.382122905672,47.2988292241539,51,6921,3212301,Wedgwood Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.367162438005,47.2981547857606,52,2771,3212401,Alderdale Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.36592724341,47.2883256474621,53,2770,3212402,Coronado Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.456128111039,47.4221510300776,54,2852,3220501,Vashon Pool Site,Pool Site,Vashon School District,School District,Vashon School District,School District,Vashon School District,School District,0
-122.456702861444,47.4221495104627,55,2852,3220501,Vashon Pool Site,Pool Site,Vashon School District,School District,Vashon School District,School District,Vashon School District,School District,1
-122.454594198797,47.4241293627375,56,2449,3220502,Vashon Commons,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,0
-122.4571496126,47.4238363342157,57,2449,3220502,Vashon Commons,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1
-122.44053407313,47.4264806060923,58,2845,3220505,Ellisport Wildlands,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,0
-122.440681402764,47.4282450578462,59,2845,3220505,Ellisport Wildlands,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1
