field_1,lat,long,distance_t,NAME
"0",47.5112000000,-122.2570000000,0.1310457650,Seattle
"1",47.7210000000,-122.3190000000,0.2465880815,Seattle
"2",47.7379000000,-122.2330000000,0.1119501960,Northshore
"3",47.5208000000,-122.3930000000,1.0527957433,Seattle
"4",47.6168000000,-122.0450000000,0.7151153841,Lake Washington
"5",47.6561000000,-122.0050000000,1.9386365249,Lake Washington
"6",47.3097000000,-122.3270000000,0.6908879796,Federal Way
"7",47.4095000000,-122.3150000000,0.4012856226,Highline
"8",47.5123000000,-122.3370000000,0.3403081076,Highline
"9",47.3684000000,-122.0310000000,0.4525010185,Tahoma
"10",47.6007000000,-122.1450000000,0.1902652885,Bellevue
"11",47.6900000000,-122.2920000000,0.2772153242,Seattle
"12",47.7558000000,-122.2290000000,0.5499343405,Northshore
"13",47.6127000000,-122.0450000000,0.6649749932,Lake Washington
"14",47.6700000000,-122.3940000000,0.2571860080,Seattle
"15",47.5714000000,-122.3750000000,0.6263391225,Seattle
"16",47.7277000000,-121.9620000000,0.7051295440,Riverview
"17",47.6648000000,-122.3430000000,0.1500609362,Seattle
"18",47.3089000000,-122.2100000000,0.1764601255,Auburn
"19",47.3343000000,-122.3060000000,0.2433225519,Federal Way
"20",47.7025000000,-122.3410000000,0.5114916950,Seattle
"21",47.5316000000,-122.2330000000,0.2125417967,Mercer Island
"22",47.3266000000,-122.1690000000,0.3203766068,Auburn
"23",47.3533000000,-122.1660000000,0.8290312695,Kent
"24",47.3739000000,-122.1720000000,0.3099137469,Kent
"25",47.3048000000,-122.2180000000,0.3074510859,Auburn
"26",47.6386000000,-122.3600000000,0.1324284148,Seattle
"27",47.6221000000,-122.3140000000,0.2585490090,Seattle
"28",47.6950000000,-122.3040000000,0.2915429474,Seattle
"29",47.7073000000,-122.1100000000,0.6535163302,Lake Washington
"30",47.5391000000,-122.0700000000,1.1645470740,Issaquah
"31",47.7274000000,-122.3570000000,0.2251356908,Seattle
"32",47.6823000000,-122.3680000000,0.2531162725,Seattle
"33",47.6889000000,-122.3750000000,0.3775804597,Seattle
"34",47.4276000000,-122.1570000000,0.2584464767,Kent
"35",47.6827000000,-122.3100000000,0.4130774906,Seattle
"36",47.6621000000,-122.1320000000,0.2945103442,Lake Washington
"37",47.6702000000,-122.3620000000,0.0112550615,Seattle
"38",47.3341000000,-122.2820000000,0.1324832240,Federal Way
"39",47.5301000000,-122.1800000000,0.5828904840,Renton
"40",47.6145000000,-122.0270000000,0.1929597621,Lake Washington
"41",47.4450000000,-122.3470000000,0.8976328896,Highline
"42",47.6848000000,-122.0160000000,0.2393393471,Lake Washington
"43",47.6413000000,-122.3640000000,0.0922217665,Seattle
"44",47.4485000000,-122.1750000000,0.3660394364,Renton
"45",47.7443000000,-121.9770000000,0.3114710008,Riverview
"46",47.3066000000,-122.3710000000,0.2725101655,Federal Way
"47",47.6194000000,-122.1510000000,0.1079985569,Bellevue
"48",47.6796000000,-122.3010000000,0.1847757743,Seattle
"49",47.4041000000,-122.4510000000,1.2775561726,Vashon Island
"50",47.4258000000,-122.3220000000,0.2479971565,Highline
"51",47.4934000000,-122.1890000000,0.3439696218,Renton
"52",47.6808000000,-122.3840000000,0.3153488142,Seattle
"53",47.6989000000,-122.3690000000,0.4277751992,Seattle
"54",47.6571000000,-122.2810000000,0.3816747785,Seattle
"55",47.6597000000,-122.2900000000,0.8216422233,Seattle
"56",47.3663000000,-122.1140000000,0.3581878456,Kent
"57",47.3663000000,-122.1220000000,0.2865633017,Kent
"58",47.5880000000,-122.1160000000,0.1904529809,Bellevue
"59",47.5059000000,-122.1490000000,0.3340188048,Renton
"60",47.4336000000,-122.3390000000,0.5953644532,Highline
"61",47.4366000000,-122.3350000000,0.3279376682,Highline
"62",47.4428000000,-122.3440000000,1.0039321266,Highline
"63",47.6765000000,-122.3200000000,0.3889609465,Seattle
"64",47.6113000000,-122.2970000000,0.2723766786,Seattle
"65",47.5747000000,-122.3040000000,0.0645417722,Seattle
"66",47.5815000000,-122.1920000000,0.6337808545,Bellevue
"67",47.3378000000,-122.2570000000,0.3414253770,Federal Way
"68",47.3621000000,-122.1100000000,0.4597550554,Kent
"69",47.6303000000,-122.2150000000,0.1656833873,Bellevue
"70",47.6525000000,-122.1600000000,0.9106088897,Bellevue
