field_1,EHD_decile
"0","8"
"1","7"
"2","3"
"3","6"
"4","1"
"5","1"
"6","8"
"7","9"
"8","9"
"9","3"
"10","5"
"11","1"
"12","5"
"13","2"
"14","2"
"15","6"
"16","1"
"17","4"
"18","9"
"19","10"
"20","7"
"21","5"
"22","8"
"23","10"
"24","9"
"25","9"
"26","6"
"27","3"
"28","4"
"29","2"
"30","3"
"31","7"
"32","3"
"33","3"
"34","7"
"35","4"
"36","5"
"37","3"
"38","8"
"39","7"
"40","1"
"41","4"
"42","1"
"43","4"
"44","8"
"45","1"
"46","7"
"47","4"
"48","3"
"49","1"
"50","6"
"51","9"
"52","1"
"53","3"
"54","1"
"55","1"
"56","9"
"57","9"
"58","4"
"59","7"
"60","4"
"61","9"
"62","4"
"63","5"
"64","6"
"65","8"
"66","6"
"67","8"
"68","9"
"69","3"
"70","4"
"71","5"
"72","1"
"73","3"
"74","7"
"75","1"
"76","4"
"77","3"
"78","6"
"79","4"
"80","3"
"81","4"
"82","9"
"83","6"
"84","7"
"85","4"
"86","9"
"87","9"
"88","8"
"89","6"
"90","8"
"91","4"
"92","8"
"93","1"
"94","1"
"95","5"
"96","9"
"97","6"
"98","4"
"99","1"
"100","5"
"101","2"
"102","1"
"103","6"
"104","8"
"105","7"
"106","3"
"107","7"
"108","1"
"109","1"
"110","6"
"111","4"
"112","3"
"113","9"
"114","8"
"115","5"
"116","4"
"117","8"
"118","10"
"119","8"
"120","2"
"121","2"
"122","5"
"123","8"
"124","4"
"125","4"
"126","7"
"127","6"
"128","4"
"129","2"
"130","4"
"131","6"
"132","1"
"133","2"
"134","2"
"135","10"
"136","10"
"137","2"
"138","1"
"139","4"
"140","6"
"141","5"
"142","8"
"143","5"
"144","4"
"145","1"
"146","6"
"147","3"
"148","10"
"149","4"
"150","4"
"151","2"
"152","10"
"153","4"
"154","1"
"155","8"
"156","4"
"157","7"
"158","5"
"159","5"
"160","8"
"161","3"
"162","1"
"163","2"
"164","3"
"165","3"
"166","8"
"167","5"
"168","2"
"169","6"
"170","8"
"171","7"
"172","7"
"173","3"
"174","4"
"175","7"
"176","9"
"177","6"
"178","2"
"179","5"
"180","10"
"181","5"
"182","3"
"183","5"
"184","2"
"185","2"
"186","6"
"187","1"
"188","5"
"189","3"
"190","4"
"191","8"
"192","3"
"193","5"
"194","4"
"195","8"
"196","9"
"197","9"
"198","2"
"199","4"
"200","8"
"201","7"
"202","2"
"203","7"
"204","6"
"205","5"
"206","2"
"207","2"
"208","7"
"209","7"
"210","4"
"211","1"
"212","1"
"213","8"
"214","7"
"215","10"
"216","5"
"217","6"
"218","8"
"219","1"
"220","2"
"221","10"
"222","2"
"223","9"
"224","5"
"225","6"
"226","1"
"227","8"
"228","10"
"229","1"
"230","3"
"231","4"
"232","7"
"233","1"
"234","9"
"235","3"
"236","3"
"237","7"
"238","1"
"239","8"
"240","9"
"241","5"
"242","3"
"243","7"
"244","4"
"245","6"
"246","2"
"247","8"
"248","9"
"249","4"
"250","9"
"251","6"
"252","2"
"253","7"
"254","10"
"255","7"
"256","9"
"257","6"
"258","2"
"259","2"
"260","1"
"261","10"
"262","1"
"263","8"
"264","2"
"265","8"
"266","9"
"267","1"
"268","8"
"269","3"
"270","1"
"271","3"
"272","9"
"273","8"
"274","1"
"275","8"
"276","8"
"277","2"
"278","7"
"279","7"
"280","10"
"281","10"
"282","3"
"283","1"
"284","3"
"285","9"
"286","2"
"287","4"
"288","4"
"289","7"
"290","4"
"291","2"
"292","8"
"293","7"
"294","6"
"295","1"
"296","8"
"297","7"
"298","9"
"299","9"
"300","2"
"301","10"
"302","1"
"303","3"
"304","8"
"305","4"
"306","2"
"307","2"
"308","3"
"309","7"
"310","8"
"311","2"
"312","4"
"313","3"
"314","3"
"315","8"
"316","6"
"317","8"
"318","4"
"319","8"
"320","4"
"321","4"
"322","8"
"323","8"
"324","8"
"325","8"
"326","1"
"327","5"
"328","7"
"329","5"
"330","1"
"331","6"
"332","2"
"333","5"
"334","5"
"335","4"
"336","5"
"337","4"
"338","2"
"339","10"
"340","1"
"341","4"
"342","7"
"343","1"
"344","2"
"345","10"
"346","10"
"347","4"
"348","10"
"349","4"
"350","1"
"351","3"
"352","4"
"353","4"
"354","8"
"355","8"
"356","3"
"357","7"
"358","4"
"359","2"
"360","1"
"361","6"
"362","5"
"363","2"
"364","4"
"365","1"
"366","3"
"367","1"
"368","2"
"369","9"
"370","8"
"371","7"
"372","7"
"373","8"
"374","8"
"375","2"
"376","7"
"377","4"
"378","5"
"379","9"
"380","3"
"381","1"
"382","1"
"383","1"
"384","4"
"385","3"
"386","2"
"387","8"
"388","8"
"389","2"
"390","9"
"391","2"
"392","1"
"393","3"
"394","5"
"395","1"
"396","4"
"397","5"
"398","8"
"399","8"
"400","6"
"401","2"
"402","1"
"403","2"
"404","5"
"405","3"
"406","4"
"407","8"
"408","9"
"409","4"
"410","10"
"411","1"
"412","1"
"413","3"
"414","10"
"415","4"
"416","2"
"417","6"
"418","1"
"419","1"
"420","4"
"421","6"
"422","4"
"423","8"
"424","6"
"425","4"
"426","4"
"427","3"
"428","4"
"429","8"
"430","7"
"431","2"
"432","2"
"433","9"
"434","5"
"435","4"
"436","1"
"437","2"
"438","5"
"439","3"
"440","8"
"441","8"
"442","1"
"443","4"
"444","10"
"445","1"
"446","3"
"447","5"
"448","3"
"449","2"
"450","2"
"451","2"
"452","3"
"453","3"
"454","3"
"455","5"
"456","3"
"457","1"
"458","10"
"459","7"
"460","5"
"461","5"
"462","7"
"463","8"
"464","2"
"465","1"
"466","7"
"467","9"
"468","10"
"469","3"
"470","10"
"471","2"
"472","1"
"473","2"
"474","2"
"475","2"
"476","8"
"477","2"
"478","5"
