field_1,lat,long,Hub distan,E19013171
"0",47.5112000000,-122.2570000000,,"93862"
"1",47.7210000000,-122.3190000000,,"69790"
"2",47.7379000000,-122.2330000000,,"126269"
"3",47.5208000000,-122.3930000000,,"107201"
"4",47.6168000000,-122.0450000000,,"170063"
"5",47.6561000000,-122.0050000000,,"149688"
"6",47.3097000000,-122.3270000000,,"41359"
"7",47.4095000000,-122.3150000000,,"63692"
"8",47.5123000000,-122.3370000000,,"39301"
"9",47.3684000000,-122.0310000000,,"118548"
"10",47.6007000000,-122.1450000000,,"72942"
"11",47.6900000000,-122.2920000000,,"118750"
"12",47.7558000000,-122.2290000000,,"81796"
"13",47.6127000000,-122.0450000000,,"149743"
"14",47.6700000000,-122.3940000000,,"89375"
"15",47.5714000000,-122.3750000000,,"81066"
"16",47.7277000000,-121.9620000000,,"142738"
"17",47.6648000000,-122.3430000000,,"87112"
"18",47.3089000000,-122.2100000000,,"63516"
"19",47.3343000000,-122.3060000000,,"62036"
"20",47.7025000000,-122.3410000000,,"70250"
"21",47.5316000000,-122.2330000000,,"216488"
"22",47.3266000000,-122.1690000000,,"82917"
"23",47.3533000000,-122.1660000000,,"73610"
"24",47.3739000000,-122.1720000000,,"96917"
"25",47.3048000000,-122.2180000000,,"63516"
"26",47.6386000000,-122.3600000000,,"116111"
"27",47.6221000000,-122.3140000000,,"68838"
"28",47.6950000000,-122.3040000000,,"106458"
"29",47.7073000000,-122.1100000000,,"210341"
"30",47.5391000000,-122.0700000000,,"151820"
"31",47.7274000000,-122.3570000000,,"32262"
"32",47.6823000000,-122.3680000000,,"103470"
"33",47.6889000000,-122.3750000000,,"103470"
"34",47.4276000000,-122.1570000000,,"102566"
"35",47.6827000000,-122.3100000000,,"115000"
"36",47.6621000000,-122.1320000000,,"128088"
"37",47.6702000000,-122.3620000000,,"106172"
"38",47.3341000000,-122.2820000000,,"83264"
"39",47.5301000000,-122.1800000000,,"122647"
"40",47.6145000000,-122.0270000000,,"176375"
"41",47.4450000000,-122.3470000000,,"84964"
"42",47.6848000000,-122.0160000000,,"146596"
"43",47.6413000000,-122.3640000000,,"109567"
"44",47.4485000000,-122.1750000000,,"67985"
"45",47.7443000000,-121.9770000000,,"119813"
"46",47.3066000000,-122.3710000000,,"83442"
"47",47.6194000000,-122.1510000000,,"102580"
"48",47.6796000000,-122.3010000000,,"113472"
"49",47.4041000000,-122.4510000000,,"90487"
"50",47.4258000000,-122.3220000000,,"85598"
"51",47.4934000000,-122.1890000000,,"59952"
"52",47.6808000000,-122.3840000000,,"123698"
"53",47.6989000000,-122.3690000000,,"92059"
"54",47.6571000000,-122.2810000000,,"175735"
"55",47.6597000000,-122.2900000000,,"175735"
"56",47.3663000000,-122.1140000000,,"88791"
"57",47.3663000000,-122.1220000000,,"88791"
"58",47.5880000000,-122.1160000000,,"117917"
"59",47.5059000000,-122.1490000000,,"87448"
"60",47.4336000000,-122.3390000000,,"84964"
"61",47.4366000000,-122.3350000000,,"69036"
"62",47.4428000000,-122.3440000000,,"84964"
"63",47.6765000000,-122.3200000000,,"82268"
"64",47.6113000000,-122.2970000000,,"120608"
"65",47.5747000000,-122.3040000000,,"74953"
"66",47.5815000000,-122.1920000000,,"163864"
"67",47.3378000000,-122.2570000000,,"90133"
"68",47.3621000000,-122.1100000000,,"88791"
"69",47.6303000000,-122.2150000000,,"222500"
"70",47.6525000000,-122.1600000000,,"100903"
"71",47.7362000000,-122.1790000000,,"92333"
"72",47.7168000000,-122.2870000000,,"105286"
"73",47.3608000000,-122.0360000000,,"118548"
"74",47.3511000000,-122.0730000000,,"95408"
"75",47.5822000000,-121.9870000000,,"176389"
"76",47.6034000000,-122.1250000000,,"98805"
"77",47.5636000000,-122.3940000000,,"120189"
"78",47.7073000000,-122.3400000000,,"63705"
"79",47.3420000000,-122.0250000000,,"104883"
"80",47.3512000000,-122.0080000000,,"110139"
"81",47.3490000000,-122.0310000000,,"97041"
"82",47.5474000000,-122.2910000000,,"78407"
"83",47.4811000000,-122.1490000000,,"113682"
"84",47.7264000000,-122.3100000000,,"69790"
"85",47.6337000000,-122.3650000000,,"127702"
"86",47.2909000000,-122.1890000000,,"64802"
"87",47.5228000000,-122.1990000000,,"81216"
"88",47.5180000000,-122.1940000000,,"97250"
"89",47.5394000000,-122.3870000000,,"107201"
"90",47.2897000000,-122.3720000000,,"63897"
"91",47.6506000000,-122.3910000000,,"84583"
"92",47.3220000000,-122.3510000000,,"66250"
"93",47.6870000000,-122.3860000000,,"123698"
"94",47.6870000000,-122.3860000000,,"123698"
"95",47.5873000000,-122.2490000000,,"111950"
"96",47.3576000000,-122.2770000000,,"68762"
"97",47.3036000000,-122.3780000000,,"89736"
"98",47.4109000000,-121.9580000000,,"110063"
"99",47.4838000000,-121.7140000000,,"92377"
"100",47.6415000000,-122.3150000000,,"109055"
"101",47.6775000000,-122.3720000000,,"113188"
"102",47.7731000000,-122.0800000000,,"127434"
"103",47.5814000000,-122.1960000000,,"163864"
"104",47.4375000000,-122.1840000000,,"92531"
"105",47.4431000000,-122.1330000000,,"76978"
"106",47.6878000000,-122.3800000000,,"103470"
"107",47.3813000000,-122.3220000000,,"72835"
"108",47.7304000000,-122.0820000000,,"165000"
"109",47.6417000000,-122.1090000000,,"163032"
"110",47.5386000000,-122.0530000000,,"79073"
"111",47.6823000000,-122.3490000000,,"124107"
"112",47.3624000000,-122.0310000000,,"118548"
"113",47.5474000000,-122.2950000000,,"78407"
"114",47.3183000000,-122.2530000000,,"92632"
"115",47.6981000000,-122.3680000000,,"79375"
"116",47.6824000000,-122.3470000000,,"124107"
"117",47.5009000000,-122.2480000000,,"93862"
"118",47.4965000000,-122.3030000000,,"43646"
"119",47.5870000000,-122.2940000000,,"95075"
"120",47.7728000000,-122.3860000000,,"115058"
"121",47.7288000000,-122.2260000000,,"100069"
"122",47.6999000000,-122.3640000000,,"79375"
"123",47.5299000000,-122.2660000000,,"58827"
"124",47.6897000000,-122.0980000000,,"106197"
"125",47.6141000000,-122.2120000000,,"140026"
"126",47.5091000000,-122.2440000000,,"93571"
"127",47.3129000000,-122.3900000000,,"89736"
"128",47.6763000000,-122.3520000000,,"91806"
"129",47.5319000000,-121.8500000000,,"150943"
"130",47.2761000000,-122.1520000000,,"96667"
"131",47.5343000000,-122.0540000000,,"79073"
"132",47.6970000000,-122.0720000000,,"108080"
"133",47.5517000000,-121.9980000000,,"124252"
"134",47.6734000000,-122.3800000000,,"113188"
"135",47.3257000000,-122.2960000000,,"46488"
"136",47.3309000000,-122.2990000000,,"62036"
"137",47.7689000000,-122.2660000000,,"125339"
"138",47.7135000000,-122.2870000000,,"105286"
"139",47.6722000000,-122.3810000000,,"91288"
"140",47.6338000000,-122.3580000000,,"116111"
"141",47.5707000000,-122.1280000000,,"158909"
"142",47.4563000000,-122.1710000000,,"82222"
"143",47.7144000000,-122.3510000000,,"73792"
"144",47.5495000000,-122.1740000000,,"122063"
"145",47.7421000000,-122.0260000000,,"133603"
"146",47.6354000000,-122.3530000000,,"116111"
"147",47.5262000000,-121.9430000000,,"113651"
"148",47.3887000000,-122.2860000000,,"92782"
"149",47.6873000000,-122.3360000000,,"128292"
"150",47.6838000000,-122.3530000000,,"124107"
"151",47.6550000000,-122.3590000000,,"116279"
"152",47.3255000000,-122.3040000000,,"46488"
"153",47.5620000000,-122.1620000000,,"147450"
"154",47.6790000000,-122.3000000000,,"124792"
"155",47.4479000000,-122.1760000000,,"67985"
"156",47.5250000000,-122.1720000000,,"122063"
"157",47.3135000000,-122.3690000000,,"83442"
"158",47.2086000000,-121.9960000000,,"59833"
"159",47.4715000000,-122.1180000000,,"115493"
"160",47.4877000000,-122.3350000000,,"60989"
"161",47.7171000000,-122.1930000000,,"94390"
"162",47.6012000000,-122.0230000000,,"176375"
"163",47.7319000000,-122.2240000000,,"100069"
"164",47.4582000000,-122.0230000000,,"98274"
"165",47.7209000000,-122.1680000000,,"99051"
"166",47.4080000000,-122.3270000000,,"72513"
