field_1,E25058232
"0","1032"
"1","1341"
"2","1725"
"3","1401"
"4","1699"
"5","1412"
"6","977"
"7","1314"
"8","550"
"9","1769"
"10","1499"
"11","1320"
"12","1112"
"13","1898"
"14","1303"
"15","1340"
"16","1532"
"17","1500"
"18","958"
"19","1095"
"20","1208"
"21","1883"
"22","1243"
"23","1127"
"24","1575"
"25","958"
"26","1834"
"27","1427"
"28","1465"
"29","1636"
"30","1910"
"31","985"
"32","1796"
"33","1796"
"34","1655"
"35","1574"
"36","1741"
"37","1423"
"38","1424"
"39","1733"
"40","2637"
"41","1225"
"42","1840"
"43","1635"
"44","1255"
"45","1504"
"46","1243"
"47","1639"
"48","1655"
"49","1309"
"50","1169"
"51","1168"
"52","1661"
"53","1236"
"54","1591"
"55","1591"
"56","1470"
"57","1470"
"58","1784"
"59","1298"
"60","1225"
"61","1165"
"62","1225"
"63","1599"
"64","1394"
"65","1236"
"66","1415"
"67","1564"
"68","1470"
"69","2339"
"70","1556"
"71","1422"
"72","1643"
"73","1769"
"74","1666"
"75","2037"
"76","1745"
"77","1540"
"78","1256"
"79","1698"
"80","1051"
"81","1752"
"82","1298"
"83","1137"
"84","1341"
"85","1716"
"86","989"
"87","1556"
"88","1411"
"89","1401"
"90","1289"
"91","1559"
"92","1127"
"93","1661"
"94","1661"
"95","1915"
"96","1180"
"97","1026"
"98","1396"
"99","850"
"100","1442"
"101","1575"
"102","1700"
"103","1415"
"104","1397"
"105","1387"
"106","1796"
"107","1385"
"108","2250"
"109","1720"
"110","1405"
"111","1404"
"112","1769"
"113","1298"
"114","1400"
"115","1427"
"116","1404"
"117","1032"
"118","926"
"119","921"
"120","1268"
"121","1380"
"122","1427"
"123","978"
"124","1675"
"125","1948"
"126","1451"
"127","1026"
"128","1366"
"129","1960"
"130","798"
"131","1405"
"132","2057"
"133","1989"
"134","1575"
"135","932"
"136","1095"
"137","1507"
"138","1643"
"139","1607"
"140","1834"
"141","2123"
"142","1309"
"143","1177"
"144","1684"
"145","1381"
"146","1834"
"147","1319"
"148","1313"
"149","2175"
"150","1404"
"151","1716"
"152","932"
"153","3062"
"154","1385"
"155","1255"
"156","1684"
"157","1243"
"158","1052"
"159","1778"
"160","970"
"161","1661"
"162","2637"
"163","1380"
"164","729"
"165","1458"
"166","1216"
"167","2123"
"168","1754"
"169","1471"
"170","970"
"171","1243"
"172","1350"
"173","1665"
"174","2423"
"175","1420"
"176","1034"
"177","1391"
"178","867"
"179","1177"
"180","1127"
"181","1244"
"182","1314"
"183","1548"
"184","2254"
"185","1744"
"186","1026"
"187","1699"
"188","1635"
"189","1694"
"190","1600"
"191","1309"
"192","2675"
"193","1449"
