,X,Y,OBJECTID,KC_Fac_FID,KCParkFID,SiteName,SiteType,Owner,OwnerType,Manager,ManageType,Maintd_By,MaintType,Label_Type
85,-122.45148439647,47.36583033121529,86,5303,3222902,Dockton Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
86,-122.44707021877599,47.3690231318166,87,5303,3222902,Dockton Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
87,-122.439660599852,47.3725356099016,88,5303,3222902,Dockton Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2
88,-122.43695843171601,47.375540552389005,89,5303,3222902,Dockton Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,3
111,-122.362255528722,47.4776732084758,112,2482,3231301,Seahurst Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1
207,-122.396013337823,47.53117659681379,208,2472,3243501,Lincoln Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
223,-122.423781636642,47.6602442725888,224,2477,3251001,Discovery Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
224,-122.419543161211,47.6601369725734,225,2477,3251001,Discovery Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
328,-122.36433279416599,47.7070365517085,329,2408,3262501,Carkeek Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
329,-122.373084239265,47.7105976529966,330,2408,3262501,Carkeek Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
499,-122.26682203255,47.509251969342394,500,2564,4230201,Kubota Gardens,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
500,-122.26606435862,47.5129379621061,501,2564,4230201,Kubota Gardens,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
512,-122.34426465132601,47.502764217464,513,2562,4230601,Dick Thurnau Memorial Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
513,-122.344319296923,47.5038729362424,514,2562,4230601,Dick Thurnau Memorial Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
692,-122.321400088111,47.55160610606529,693,2294,4242002,Georgetown Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
703,-122.251994552944,47.5548190481525,704,2290,4242301,Seward Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
