field_1,E19301166
"0","36991"
"1","37334"
"2","51943"
"3","64829"
"4","66934"
"5","69419"
"6","25811"
"7","26275"
"8","20313"
"9","41603"
"10","42158"
"11","56329"
"12","46482"
"13","65311"
"14","63777"
"15","50639"
"16","53236"
"17","57466"
"18","27629"
"19","23399"
"20","45565"
"21","106262"
"22","31039"
"23","24949"
"24","30170"
"25","27629"
"26","73490"
"27","59770"
"28","57042"
"29","81398"
"30","74920"
"31","35655"
"32","51087"
"33","51087"
"34","36057"
"35","54079"
"36","60855"
"37","59612"
"38","30959"
"39","63752"
"40","66560"
"41","51570"
"42","66063"
"43","56952"
"44","28947"
"45","51838"
"46","30088"
"47","51220"
"48","52796"
"49","56516"
"50","36227"
"51","31355"
"52","66859"
"53","49580"
"54","93136"
"55","93136"
"56","36621"
"57","36621"
"58","66589"
"59","39088"
"60","51570"
"61","32155"
"62","51570"
"63","54967"
"64","58294"
"65","37355"
"66","84148"
"67","35547"
"68","36621"
"69","119331"
"70","64594"
"71","43235"
"72","54582"
"73","41603"
"74","41073"
"75","71139"
"76","42446"
"77","59487"
"78","36189"
"79","46681"
"80","40012"
"81","34530"
"82","32644"
"83","43454"
"84","37334"
"85","78051"
"86","27988"
"87","48316"
"88","47084"
"89","64829"
"90","28972"
"91","53439"
"92","29863"
"93","66859"
"94","66859"
"95","74861"
"96","33786"
"97","36224"
"98","48489"
"99","52378"
"100","84696"
"101","60879"
"102","64988"
"103","84148"
"104","46694"
"105","38732"
"106","51087"
"107","41482"
"108","78461"
"109","67983"
"110","39577"
"111","62650"
"112","41603"
"113","32644"
"114","39057"
"115","43788"
"116","62650"
"117","36991"
"118","22119"
"119","62659"
"120","61307"
"121","45935"
"122","43788"
"123","26777"
"124","50201"
"125","88247"
"126","44946"
"127","36224"
"128","54715"
"129","54888"
"130","41183"
"131","39577"
"132","70799"
"133","54271"
"134","60879"
"135","26026"
"136","23399"
"137","51032"
"138","54582"
"139","76914"
"140","73490"
"141","62069"
"142","29355"
"143","47620"
"144","52339"
"145","61139"
"146","73490"
"147","46974"
"148","32253"
"149","64996"
"150","62650"
"151","64481"
"152","26026"
"153","73791"
"154","63627"
"155","28947"
"156","52339"
"157","30088"
"158","33456"
"159","50386"
"160","26029"
"161","49990"
"162","66560"
"163","45935"
"164","39729"
"165","47957"
"166","45947"
"167","62069"
"168","66919"
"169","37398"
"170","26029"
"171","30088"
"172","35891"
"173","63909"
"174","74882"
"175","62125"
"176","35926"
"177","44355"
"178","30362"
"179","47620"
"180","24949"
"181","51003"
"182","54418"
"183","43514"
"184","70553"
"185","69428"
"186","36224"
"187","66934"
"188","68559"
"189","56050"
"190","43947"
"191","29355"
"192","96675"
"193","37627"
